iter	Logloss
0	0.6732486432
1	0.6541535435
2	0.6358493411
3	0.6182943271
4	0.6014669018
5	0.5853403838
6	0.5698960652
7	0.5550960924
8	0.5409306951
9	0.5273598291
10	0.5143665828
11	0.5018991265
12	0.4899714362
13	0.4785617373
14	0.4676265681
15	0.4571580863
16	0.4471374525
17	0.437542454
18	0.4283504838
19	0.419546076
20	0.4111239296
21	0.403053113
22	0.3953317861
23	0.3879339246
24	0.3808565929
25	0.3740745554
26	0.3675760264
27	0.361360327
28	0.3554014983
29	0.3496919829
30	0.3442287795
31	0.3389935309
32	0.3339787889
33	0.329170731
34	0.3245665968
35	0.3201483796
36	0.3159138449
37	0.3118507473
38	0.3079588896
39	0.3042296408
40	0.3006507116
41	0.2972182027
42	0.2939194305
43	0.2907639898
44	0.287730566
45	0.2848245918
46	0.2820352895
47	0.2793601398
48	0.27679371
49	0.2743263834
50	0.2719599343
51	0.2696864327
52	0.2675040167
53	0.2654104299
54	0.2633943468
55	0.2614611125
56	0.2596017675
57	0.2578061691
58	0.2560818313
59	0.2544344058
60	0.2528478792
61	0.2513226678
62	0.2498434591
63	0.2484286105
64	0.2470694034
65	0.2457695399
66	0.2445138609
67	0.2433114795
68	0.2421532827
69	0.2410339692
70	0.2399582926
71	0.2389288597
72	0.2379361415
73	0.2369806198
74	0.2360567305
75	0.235171593
76	0.2343153716
77	0.2334852404
78	0.2326950877
79	0.2319310034
80	0.2311959007
81	0.2304885969
82	0.2298059813
83	0.2291465423
84	0.228513281
85	0.2279035908
86	0.2273130026
87	0.2267447587
88	0.2262003923
89	0.2256777131
90	0.2251674545
91	0.2246814898
92	0.2242043752
93	0.2237474361
94	0.2233060722
95	0.2228864392
96	0.2224729618
97	0.2220822886
98	0.2217011883
99	0.221334108
100	0.2209803027
101	0.2206410212
102	0.2203102393
103	0.2199925572
104	0.2196833966
105	0.2193862843
106	0.2190990954
107	0.218826518
108	0.2185608628
109	0.218304233
110	0.2180573076
111	0.2178209409
112	0.2175879696
113	0.2173637389
114	0.2171496726
115	0.2169434705
116	0.2167435994
117	0.2165452617
118	0.216361141
119	0.2161760345
120	0.2159989895
121	0.2158272896
122	0.2156619424
123	0.2155070226
124	0.2153506569
125	0.2152045214
126	0.2150600507
127	0.2149195889
128	0.2147843626
129	0.2146557081
130	0.2145272727
131	0.2144056282
132	0.2142898545
133	0.2141747599
134	0.2140663905
135	0.2139601679
136	0.2138563768
137	0.2137553679
138	0.2136563523
139	0.2135637334
140	0.213472144
141	0.2133850016
142	0.2133008384
143	0.2132187125
144	0.2131392153
145	0.2130619963
146	0.2129901444
147	0.212913955
148	0.2128436803
149	0.212778422
150	0.2127143248
151	0.2126493732
152	0.2125896134
153	0.2125291745
154	0.2124691518
155	0.2124128313
156	0.2123576499
157	0.2123077916
158	0.2122540998
159	0.2122064759
160	0.2121614589
161	0.2121167267
162	0.2120714687
163	0.2120301757
164	0.2119876998
165	0.2119451801
166	0.2119043033
167	0.2118667563
168	0.2118296036
169	0.2117948167
170	0.2117619357
171	0.2117266011
172	0.2116934134
173	0.2116604009
174	0.2116282428
175	0.2115998744
176	0.2115719442
177	0.2115416699
178	0.2115067954
179	0.2114795443
180	0.2114531036
181	0.2114280869
182	0.211404494
183	0.2113773524
184	0.2113531242
185	0.2113302324
186	0.2113082167
187	0.2112832438
188	0.2112616882
189	0.2112392345
190	0.2112201762
191	0.2111961452
192	0.2111768897
193	0.2111611612
194	0.2111441401
195	0.2111272505
196	0.211110821
197	0.2110940409
198	0.2110775894
199	0.2110629781
200	0.2110458037
201	0.2110304256
202	0.2110135141
203	0.2109980046
204	0.2109850581
205	0.2109704249
206	0.2109567116
207	0.2109419469
208	0.2109278613
209	0.2109178283
210	0.2109056924
211	0.2108941698
212	0.2108817928
213	0.2108723294
214	0.2108618802
215	0.2108518472
216	0.2108426466
217	0.2108324822
218	0.2108226026
219	0.2108124162
220	0.2108007184
221	0.2107918245
222	0.210783084
223	0.2107735329
224	0.2107620541
225	0.2107534669
226	0.2107442445
227	0.2107331381
228	0.2107249452
229	0.2107142331
230	0.2107050326
231	0.2106948243
232	0.2106888659
233	0.2106805635
234	0.2106743641
235	0.2106657331
236	0.210658285
237	0.2106522608
238	0.210647551
239	0.2106380876
240	0.2106306614
241	0.2106244839
242	0.2106149766
243	0.2106086458
244	0.2106011101
245	0.2105936401
246	0.2105862359
247	0.2105791164
248	0.2105713835
249	0.2105660604
250	0.2105604524
251	0.2105537491
252	0.2105468925
253	0.2105429713
254	0.2105383272
255	0.2105316459
256	0.2105265418
257	0.2105204519
258	0.2105153259
259	0.2105094112
260	0.2105020727
261	0.2104979981
262	0.2104938798
263	0.2104875708
264	0.2104835839
265	0.2104785893
266	0.21047377
267	0.2104702869
268	0.2104647447
269	0.2104599911
270	0.2104543612
271	0.2104511629
272	0.2104471541
273	0.2104416557
274	0.2104366173
275	0.210432017
276	0.2104279644
277	0.2104228822
278	0.2104193115
279	0.210416157
280	0.2104123891
281	0.210408928
282	0.2104054449
283	0.2104007351
284	0.2103951052
285	0.2103903516
286	0.2103856199
287	0.2103796176
288	0.2103768136
289	0.2103717752
290	0.210368796
291	0.2103638014
292	0.2103595078
293	0.2103543818
294	0.2103517531
295	0.2103479195
296	0.2103445898
297	0.2103394857
298	0.2103351264
299	0.210329606
300	0.2103252467
301	0.2103202959
302	0.2103158052
303	0.2103111392
304	0.2103073056
305	0.2103053122
306	0.2103019386
307	0.210297645
308	0.2102950163
309	0.2102924314
310	0.210289014
311	0.2102858596
312	0.2102796163
313	0.2102754104
314	0.2102715768
315	0.2102682033
316	0.2102647421
317	0.2102599228
318	0.2102565054
319	0.2102542491
320	0.2102492326
321	0.2102458152
322	0.2102433179
323	0.2102402949
324	0.2102369214
325	0.2102309629
326	0.2102283561
327	0.2102234053
328	0.2102196813
329	0.2102156944
330	0.2102128247
331	0.2102098235
332	0.2102047413
333	0.2102014554
334	0.2101949931
335	0.2101904366
336	0.210187786
337	0.2101850258
338	0.2101803817
339	0.2101778625
340	0.2101742699
341	0.2101709621
342	0.2101666247
343	0.2101636893
344	0.2101609072
345	0.2101583442
346	0.2101555841
347	0.2101536344
348	0.2101502171
349	0.2101455949
350	0.2101424404
351	0.2101407317
352	0.2101379277
353	0.2101335465
354	0.2101302606
355	0.2101279167
356	0.2101243241
357	0.2101218268
358	0.2101203372
359	0.2101182342
360	0.2101139625
361	0.2101115966
362	0.2101071059
363	0.2101044333
364	0.210101476
365	0.2100992635
366	0.2100963062
367	0.2100915307
368	0.2100854408
369	0.2100841921
370	0.21008095
371	0.2100782337
372	0.210075364
373	0.2100719466
374	0.2100688798
375	0.2100651338
376	0.2100628337
377	0.2100598983
378	0.2100568533
379	0.2100544655
380	0.2100505005
381	0.2100465355
382	0.2100426144
383	0.2100402047
384	0.2100376198
385	0.2100361082
386	0.2100321871
387	0.2100310698
388	0.2100272582
389	0.210023337
390	0.2100215188
391	0.2100173785
392	0.2100133916
393	0.2100102152
394	0.2100075427
395	0.2100066446
396	0.2100040815
397	0.2099997222
398	0.2099970059
399	0.2099951439
400	0.209991617
401	0.209988813
402	0.2099858557
403	0.2099814087
404	0.2099782543
405	0.2099755379
406	0.2099710691
407	0.2099686156
408	0.2099657678
409	0.209961978
410	0.2099595684
411	0.2099575968
412	0.209955231
413	0.2099518136
414	0.2099487249
415	0.209945658
416	0.2099425912
417	0.2099403567
418	0.2099364574
419	0.2099323829
420	0.209928396
421	0.2099247158
422	0.2099207289
423	0.2099161505
424	0.209913697
425	0.2099087024
426	0.2099059423
427	0.2099009696
428	0.209898297
429	0.2098957997
430	0.2098933901
431	0.2098899508
432	0.2098870373
433	0.2098837076
434	0.2098797426
435	0.2098764129
436	0.209874047
437	0.209871703
438	0.2098681762
439	0.2098660075
440	0.2098628311
441	0.2098597642
442	0.2098578584
443	0.2098555583
444	0.2098540029
445	0.2098509361
446	0.2098481321
447	0.2098463358
448	0.2098430718
449	0.2098411002
450	0.2098383839
451	0.2098333893
452	0.2098293367
453	0.209827869
454	0.2098253498
455	0.2098231153
456	0.20982064
457	0.2098189313
458	0.209815952
459	0.2098146596
460	0.2098115051
461	0.2098069486
462	0.2098020198
463	0.2097972442
464	0.2097937612
465	0.2097906505
466	0.2097882847
467	0.2097862255
468	0.2097833777
469	0.2097795003
470	0.2097765649
471	0.2097733228
472	0.2097709131
473	0.2097648232
474	0.2097623698
475	0.2097595001
476	0.2097572437
477	0.2097545274
478	0.2097521615
479	0.2097467507
480	0.2097448011
481	0.2097418876
482	0.2097385359
483	0.2097330156
484	0.2097286782
485	0.2097235741
486	0.2097222597
487	0.2097199158
488	0.2097174842
489	0.2097160384
490	0.2097137382
491	0.2097106057
492	0.209707955
493	0.2097062464
494	0.2097041434
495	0.2097024347
496	0.2096998279
497	0.2096985792
498	0.2096947238
499	0.2096929055
500	0.2096906492
501	0.2096861366
502	0.2096850632
503	0.2096820839
504	0.2096786447
505	0.2096760379
506	0.2096728177
507	0.2096696851
508	0.209667604
509	0.2096639676
510	0.2096621932
511	0.2096590606
512	0.2096565633
513	0.2096516564
514	0.2096500353
515	0.2096482609
516	0.2096462018
517	0.2096447122
518	0.2096412948
519	0.209638907
520	0.2096375708
521	0.209635884
522	0.2096345258
523	0.2096328171
524	0.2096299036
525	0.2096279978
526	0.2096258072
527	0.2096229156
528	0.2096195859
529	0.2096154675
530	0.2096121378
531	0.2096089833
532	0.2096059384
533	0.2096016229
534	0.2095984684
535	0.2095939557
536	0.2095914365
537	0.2095877344
538	0.2095851057
539	0.2095820169
540	0.2095772852
541	0.2095735393
542	0.209571962
543	0.2095679094
544	0.2095654121
545	0.2095627615
546	0.2095620605
547	0.209558665
548	0.2095552039
549	0.2095537143
550	0.2095493111
551	0.2095453899
552	0.2095419507
553	0.209539782
554	0.209537219
555	0.2095339988
556	0.2095322463
557	0.2095293109
558	0.2095257621
559	0.2095237686
560	0.2095211618
561	0.2095179197
562	0.2095151595
563	0.2095128375
564	0.2095100992
565	0.2095070981
566	0.2095047322
567	0.209502695
568	0.2094987081
569	0.2094950717
570	0.2094926401
571	0.2094898799
572	0.2094871636
573	0.2094833738
574	0.2094797812
575	0.2094776125
576	0.2094763419
577	0.2094736475
578	0.2094709969
579	0.2094685653
580	0.2094672071
581	0.209463965
582	0.2094623659
583	0.20945908
584	0.2094568893
585	0.2094517195
586	0.209449047
587	0.2094471849
588	0.2094446438
589	0.2094416646
590	0.2094407226
591	0.2094372615
592	0.2094336689
593	0.2094318288
594	0.2094280171
595	0.2094246436
596	0.2094212919
597	0.2094159907
598	0.2094148954
599	0.2094115218
600	0.209408214
601	0.2094052348
602	0.2094028689
603	0.2093994954
604	0.2093971076
605	0.209394917
606	0.2093909082
607	0.2093881261
608	0.2093847964
609	0.2093803276
610	0.2093768226
611	0.2093749387
612	0.2093718718
613	0.2093688488
614	0.2093664172
615	0.2093625179
616	0.2093605464
617	0.2093570852
618	0.2093525945
619	0.2093510829
620	0.2093484323
