iter	Passed	Remaining
0	11	20238
1	20	17242
2	29	16616
3	38	16385
4	48	16480
5	58	16384
6	67	16249
7	76	16163
8	84	15849
9	93	15768
10	103	15740
11	112	15777
12	121	15601
13	129	15531
14	137	15373
15	147	15387
16	157	15474
17	165	15344
18	174	15312
19	183	15300
20	192	15304
21	200	15205
22	209	15188
23	217	15105
24	226	15078
25	234	15005
26	242	14956
27	250	14857
28	258	14802
29	267	14781
30	275	14750
31	283	14684
32	292	14659
33	300	14635
34	308	14590
35	316	14534
36	324	14507
37	332	14450
38	341	14439
39	349	14404
40	358	14392
41	365	14328
42	374	14318
43	382	14292
44	390	14273
45	398	14227
46	406	14206
47	413	14150
48	420	14081
49	428	14058
50	437	14036
51	445	14032
52	452	13979
53	461	13961
54	469	13944
55	478	13941
56	485	13900
57	493	13883
58	502	13876
59	511	13873
60	518	13842
61	526	13821
62	534	13787
63	542	13776
64	550	13766
65	559	13751
66	566	13713
67	574	13694
68	582	13678
69	591	13674
70	598	13642
71	606	13623
72	614	13608
73	623	13598
74	630	13567
75	638	13554
76	646	13531
77	655	13528
78	663	13516
79	671	13510
80	679	13482
81	687	13481
82	696	13479
83	705	13472
84	712	13448
85	720	13430
86	727	13402
87	734	13369
88	743	13362
89	751	13351
90	759	13341
91	767	13324
92	776	13323
93	784	13318
94	793	13312
95	800	13285
96	808	13276
97	817	13268
98	825	13259
99	832	13234
100	841	13223
101	848	13197
102	856	13185
103	864	13173
104	872	13162
105	879	13138
106	887	13126
107	896	13118
108	904	13111
109	911	13089
110	920	13083
111	927	13057
112	936	13057
113	943	13036
114	953	13050
115	961	13038
116	969	13029
117	978	13027
118	986	13019
119	994	13002
120	1002	12991
121	1009	12969
122	1019	12978
123	1026	12958
124	1034	12938
125	1043	12938
126	1050	12918
127	1059	12916
128	1067	12905
129	1075	12899
130	1083	12881
131	1091	12875
132	1100	12869
133	1108	12862
134	1116	12846
135	1124	12836
136	1131	12818
137	1140	12813
138	1148	12811
139	1157	12807
140	1165	12793
141	1173	12787
142	1182	12780
143	1190	12774
144	1198	12761
145	1207	12758
146	1216	12759
147	1224	12753
148	1232	12734
149	1240	12728
150	1248	12712
151	1256	12706
152	1265	12700
153	1273	12693
154	1281	12679
155	1289	12672
156	1298	12670
157	1306	12662
158	1314	12646
159	1322	12639
160	1330	12623
161	1338	12615
162	1346	12609
163	1355	12602
164	1362	12586
165	1371	12578
166	1380	12577
167	1388	12572
168	1396	12560
169	1404	12550
170	1412	12543
171	1421	12535
172	1428	12519
173	1436	12510
174	1444	12494
175	1452	12485
176	1461	12481
177	1469	12477
178	1477	12464
179	1485	12455
180	1494	12448
181	1502	12441
182	1509	12426
183	1518	12416
184	1525	12401
185	1533	12390
186	1541	12384
187	1550	12375
188	1557	12361
189	1565	12350
190	1572	12333
191	1582	12335
192	1589	12322
193	1598	12316
194	1605	12301
195	1615	12303
196	1621	12283
197	1629	12268
198	1637	12263
199	1645	12249
200	1653	12241
201	1662	12235
202	1670	12228
203	1678	12216
204	1686	12208
205	1695	12205
206	1703	12197
207	1711	12185
208	1719	12175
209	1727	12165
210	1735	12159
211	1744	12153
212	1753	12150
213	1761	12141
214	1769	12134
215	1779	12132
216	1787	12122
217	1795	12112
218	1802	12101
219	1811	12095
220	1819	12086
221	1827	12073
222	1835	12063
223	1842	12051
224	1851	12044
225	1860	12041
226	1868	12032
227	1876	12021
228	1883	12011
229	1892	12007
230	1901	12000
231	1908	11987
232	1916	11978
233	1924	11964
234	1932	11953
235	1940	11946
236	1948	11937
237	1955	11922
238	1964	11915
239	1971	11903
240	1980	11899
241	1987	11885
242	1995	11874
243	2002	11857
244	2010	11848
245	2018	11839
246	2025	11825
247	2033	11817
248	2041	11804
249	2049	11794
250	2057	11786
251	2065	11779
252	2073	11768
253	2081	11759
254	2090	11753
255	2098	11746
256	2105	11734
257	2114	11727
258	2121	11714
259	2129	11705
260	2137	11695
261	2146	11691
262	2153	11677
263	2161	11669
264	2168	11653
265	2179	11657
266	2186	11643
267	2194	11636
268	2201	11620
269	2209	11611
270	2217	11605
271	2225	11592
272	2233	11584
273	2241	11574
274	2249	11567
275	2257	11559
276	2266	11552
277	2273	11540
278	2282	11533
279	2290	11527
280	2299	11521
281	2307	11511
282	2315	11502
283	2322	11490
284	2330	11481
285	2338	11474
286	2347	11468
287	2355	11460
288	2363	11451
289	2372	11446
290	2380	11436
291	2388	11425
292	2395	11415
293	2404	11407
294	2412	11398
295	2419	11385
296	2427	11379
297	2435	11367
298	2442	11355
299	2449	11340
300	2457	11334
301	2466	11329
302	2474	11318
303	2482	11310
304	2491	11304
305	2499	11296
306	2507	11287
307	2515	11280
308	2523	11270
309	2531	11260
310	2539	11252
311	2547	11244
312	2554	11231
313	2562	11219
314	2570	11211
315	2578	11203
316	2585	11191
317	2594	11184
318	2601	11173
319	2610	11169
