iter	Passed	Remaining
0	32	160191
1	42	105556
2	55	91998
3	68	85819
4	77	77430
5	87	72844
6	98	70159
7	108	67861
8	120	67034
9	129	64869
10	141	64225
11	152	63464
12	161	61933
13	171	61072
14	183	61046
15	192	59897
16	202	59367
17	211	58617
18	221	58163
19	230	57391
20	240	57130
21	250	56584
22	257	55808
23	268	55587
24	275	54876
25	285	54615
26	293	54036
27	302	53783
28	311	53423
29	321	53221
30	329	52814
31	339	52743
32	347	52367
33	357	52254
34	367	52109
35	375	51777
36	384	51599
37	393	51358
38	403	51298
39	410	50956
40	420	50919
41	429	50734
42	439	50673
43	449	50603
44	456	50317
45	466	50234
46	475	50058
47	484	50012
48	492	49769
49	501	49657
50	509	49467
51	518	49366
52	526	49153
53	536	49136
54	544	48997
55	554	48925
56	562	48752
57	571	48688
58	579	48497
59	588	48420
60	596	48300
61	605	48254
62	615	48261
63	623	48090
64	632	48048
65	641	47932
66	651	47950
67	659	47815
68	668	47783
69	677	47690
70	686	47637
71	695	47586
72	704	47543
73	712	47409
74	720	47342
75	729	47237
76	738	47230
77	748	47216
78	756	47150
79	766	47123
80	774	47007
81	783	47018
82	791	46911
83	801	46879
84	810	46838
85	819	46829
86	827	46724
87	836	46708
88	844	46607
89	853	46577
90	862	46507
91	871	46496
92	879	46404
93	888	46376
94	898	46374
95	905	46269
96	914	46240
97	922	46165
98	932	46159
99	940	46066
100	950	46084
101	958	46026
102	967	46015
103	975	45932
104	985	45948
105	993	45883
106	1003	45890
107	1011	45822
108	1021	45814
109	1031	45836
110	1039	45775
111	1048	45755
112	1056	45699
113	1066	45720
114	1075	45668
115	1084	45658
116	1092	45596
117	1101	45581
118	1110	45556
119	1120	45573
120	1128	45507
121	1137	45493
122	1147	45496
123	1155	45424
124	1164	45407
125	1172	45374
126	1182	45360
127	1189	45286
128	1200	45333
129	1208	45271
130	1217	45254
131	1225	45186
132	1234	45173
133	1242	45131
134	1252	45122
135	1259	45057
136	1268	45038
137	1276	44987
138	1287	45041
139	1297	45025
140	1305	44990
141	1314	44973
142	1322	44919
143	1332	44942
144	1340	44891
145	1350	44893
146	1359	44871
147	1368	44872
148	1377	44834
149	1386	44837
150	1394	44786
151	1403	44773
152	1414	44807
